_id,_name
1,Không yêu cầu
2,PTCS
3,Trung học
4,Chứng chỉ
5,Trung cấp
6,Cao đẳng
7,Cử nhân
8,Đại học
9,Thạc sĩ
10,Thạc sĩ Nghệ thuật
11,Thạc sĩ Thương mại
12,Thạc sĩ Khoa học
13,Thạc sĩ Kiến trúc
14,Thạc sĩ QTKD
15,Thạc sĩ Kỹ thuật ứng dụng
16,Thạc sĩ Luật
17,Thạc sĩ Y học
18,Thạc sĩ Dược phẩm
19,Tiến sĩ
20,Khác
