_id,_name
1,Chưa có kinh nghiệm
2,0 - 1 năm kinh nghiệm
3,Hơn 1 năm kinh nghiệm
4,Hơn 2 năm kinh nghiệm
5,Hơn 3 năm kinh nghiệm
6,Hơn 4 năm kinh nghiệm
7,Hơn 5 năm kinh nghiệm
8,Hơn 10 năm kinh nghiệm
