_id,_name
1,Thỏa thuận
2,1 triệu - 3 triệu
3,3 triệu - 5 triệu
4,5 triệu - 7 triệu
5,7 triệu - 10 triệu
6,10 triệu - 15 triệu
7,15 triệu - 20 triệu
8,20 triệu - 30 triệu
9,Trên 30 triệu
10,Trên 50 triệu
11,Trên 100 triệu
