_id,_name
1,Mới Tốt Nghiệp
2,Thực tập sinh
3,Nhân viên
4,Trưởng Nhóm
5,Phó tổ trưởng
6,Tổ trưởng
7,Phó trưởng phòng
8,Trưởng Phòng
9,Phó giám đốc
10,Giám Đốc
11,Phó tổng giám đốc
12,Tổng giám đốc
13,Quản lý cấp trung
14,Quản lý cấp cao
